DATE,VALUES,RETURNS
20190701,1.031381001,0.031381001
20190702,1.047254284,0.015390319
20190703,1.053621358,0.006079778
20190704,1.043918355,-0.009209194
20190705,1.036995652,-0.00663146
20190708,1.028360004,-0.008327564
20190709,1.026151929,-0.002147181
20190710,1.032371148,0.00606072
20190711,1.028886435,-0.003375446
20190712,1.040119679,0.010917866
20190715,1.041559887,0.001384656
20190716,1.029675587,-0.011410098
20190717,1.007278014,-0.021752068
20190718,0.997031409,-0.010172569
20190719,0.987372553,-0.009687615
20190722,0.963510593,-0.024167129
20190723,0.942129596,-0.022190723
20190724,0.922869628,-0.020443014
20190725,0.930518662,0.008288315
20190726,0.934497825,0.004276284
20190729,0.937379542,0.003083707
20190730,0.950167579,0.013642326
20190731,0.967922499,0.018686093
20190801,0.973699679,0.005968639
20190802,0.973033923,-0.000683738
20190805,0.974903031,0.001920907
20190806,0.998291774,0.02399084
20190807,1.000402547,0.002114384
20190808,1.008554966,0.008149139
20190809,1.025310981,0.016613884
20190812,1.013680516,-0.011343353
20190813,1.032323202,0.018391086
20190814,1.044992309,0.012272423
20190815,1.057008977,0.011499289
20190816,1.073952346,0.01602954
20190819,1.08966489,0.014630579
20190820,1.09373655,0.003736617
20190821,1.102318362,0.007846324
20190822,1.083569515,-0.017008558
20190823,1.066741212,-0.015530433
20190826,1.079994663,0.012424242
20190827,1.078462987,-0.001418226
20190828,1.074894429,-0.003308929
20190829,1.091533325,0.015479563
20190830,1.131364645,0.036491163
20190902,1.046055833,0.046055833
20190903,1.072791331,0.025558385
20190904,1.090920393,0.016898964
20190905,1.102256801,0.0103916
20190906,1.112833575,0.009595562
20190909,1.10941965,-0.003067776
20190910,1.099418516,-0.009014745
20190911,1.095539466,-0.003528274
20190912,1.075811524,-0.018007514
20190916,1.045347568,-0.028317187
20190917,1.010109371,-0.033709551
20190918,0.99372229,-0.016223076
20190919,0.985376575,-0.008398438
20190920,0.972454632,-0.01311371
20190923,0.969118113,-0.003431028
20190924,0.964865591,-0.004388032
20190925,0.953770222,-0.011499393
20190926,0.95800824,0.004443437
20190927,0.964375935,0.006646806
20190930,0.987602506,0.024084561
20191008,1.001761164,0.014336393
20191009,0.999534446,-0.002222803
20191010,0.993210853,-0.006326538
20191011,0.996807029,0.003620758
20191014,1.001951059,0.005160507
20191015,0.997415942,-0.004526286
20191016,0.991643112,-0.005787786
20191017,0.998775323,0.007192317
20191018,1.002570419,0.003799749
20191021,1.014866075,0.012264132
20191022,1.021439594,0.006477228
20191023,1.016455308,-0.004879668
20191024,1.003158434,-0.013081613
20191025,1.02126448,0.01804904
20191028,1.052376971,0.030464675
20191029,1.039901117,-0.011854929
20191030,1.030379308,-0.009156456
20191031,1.030574475,0.000189413
20191101,0.999329285,-0.000670715
20191104,1.010285108,0.010963177
20191105,1.015560718,0.005221902
20191106,1.023383098,0.007702524
20191107,1.03073877,0.007187603
20191108,1.039216258,0.008224672
20191111,1.025827561,-0.012883456
20191112,1.017720525,-0.007902923
20191113,1.010686505,-0.006911544
20191114,1.015710491,0.004970865
20191115,1.03449166,0.018490672
20191118,1.067940398,0.032333501
20191119,1.081123165,0.012344103
20191120,1.09188575,0.009955004
20191121,1.087369696,-0.004136013
20191122,1.086999996,-0.000339995
20191125,1.087003027,2.79E-06
20191126,1.081102979,-0.005427812
20191127,1.075211493,-0.005449514
20191128,1.060528646,-0.013655775
20191129,1.057021619,-0.003306867
20191202,1.041304503,-0.014869247
20191203,1.033080851,-0.007897452
20191204,1.016073422,-0.016462825
20191205,1.013154864,-0.002872389
20191206,1.015088351,0.001908383
20191209,1.016082184,0.000979061
20191210,1.020953449,0.004794164
20191211,1.021841873,0.000870191
20191212,1.038481208,0.016283669
20191213,1.042376461,0.003750914
20191216,1.04520638,0.002714872
20191217,1.051409959,0.005935267
20191218,1.044528738,-0.006544755
20191219,1.040350591,-0.004000031
20191220,1.044105065,0.003608855
20191223,1.051420164,0.007006095
20191224,1.044987,-0.006118547
20191225,1.039941683,-0.004828115
20191226,1.021469646,-0.017762569
20191227,1.025211965,0.003663661
20191230,1.01886436,-0.006191506
20191231,1.02195219,0.003030659
20200102,1.016345835,0.016345835
20200103,1.015280486,-0.001048215
20200106,1.022941936,0.007546141
20200107,1.021311141,-0.001594221
20200108,1.044313508,0.022522389
20200109,1.030798438,-0.012941583
20200110,1.044128466,0.01293175
20200113,1.033798884,-0.009893018
20200114,1.040023152,0.006020773
20200115,1.028310854,-0.011261575
20200116,1.025245361,-0.002981096
20200117,1.01368077,-0.011279828
20200120,0.990082565,-0.02327972
20200121,0.957979373,-0.032424762
20200122,0.960808089,0.002952795
20200123,0.945513059,-0.015918924
20200203,0.987077996,0.043960193
20200204,0.988145068,0.001081042
20200205,1.030941724,0.043310093
20200206,1.074212245,0.04197184
20200207,1.101930459,0.025803294
20200210,1.108664506,0.006111136
20200211,1.094619062,-0.012668796
20200212,1.098012342,0.003099965
20200213,1.138548112,0.036917408
20200214,1.15978012,0.018648319
20200217,1.121802153,-0.032745834
20200218,1.076669943,-0.04023188
20200219,1.065425102,-0.010444093
20200220,1.064303719,-0.001052522
20200221,1.095923138,0.029709019
20200224,1.131747832,0.032689056
20200225,1.16021037,0.025149188
20200226,1.163072733,0.002467106
20200227,1.149229625,-0.011902186
20200228,1.170159945,0.018212478
20200302,1.062160902,0.062160902
