DATE,VALUES,RETURNS
20190701,1.010904337,0.010904337
20190702,1.025441225,0.014380083
20190703,1.021467055,-0.003875571
20190704,1.019251695,-0.002168802
20190705,1.023964075,0.004623373
20190708,1.015363105,-0.00839968
20190709,1.006359562,-0.008867314
20190710,1.019916699,0.013471465
20190711,1.017571821,-0.002299087
20190712,1.021428398,0.003789979
20190715,1.006157759,-0.014950278
20190716,0.979536669,-0.026458167
20190717,0.959246056,-0.020714501
20190718,0.942793806,-0.01715123
20190719,0.936994071,-0.006151647
20190722,0.933819079,-0.003388487
20190723,0.933672636,-0.000156822
20190724,0.925214633,-0.009058853
20190725,0.91356511,-0.012591157
20190726,0.921647211,0.008846771
20190729,0.930724826,0.009849337
20190730,0.952434077,0.023325102
20190731,0.973564871,0.022186096
20190801,1.026482581,0.054354581
20190802,1.061565374,0.034177679
20190805,1.04770909,-0.01305269
20190806,1.043304448,-0.00420407
20190807,1.04687391,0.003421305
20190808,1.026768891,-0.019204814
20190809,1.016130927,-0.010360622
20190812,0.999392157,-0.016473045
20190813,0.989316902,-0.010081383
20190814,0.967122992,-0.02243357
20190815,0.967239274,0.000120235
20190816,0.973965048,0.006953578
20190819,0.972327781,-0.001681033
20190820,0.968365981,-0.004074552
20190821,0.970688207,0.002398087
20190822,0.974519035,0.003946507
20190823,0.983290451,0.009000765
20190826,1.027472213,0.044932565
20190827,1.101820951,0.072360826
20190828,1.165896586,0.058154308
20190829,1.18261294,0.014337768
20190830,1.176875305,-0.004851659
20190902,1.008433684,0.008433684
20190903,1.008164691,-0.000266744
20190904,1.033128456,0.024761594
20190905,1.059021148,0.025062413
20190906,1.07620276,0.01622405
20190909,1.078707711,0.002327583
20190910,1.113381262,0.032143602
20190911,1.151758863,0.034469415
20190912,1.184968103,0.028833501
20190916,1.243280026,0.049209698
20190917,1.263373692,0.016161818
20190918,1.282802149,0.015378235
20190919,1.282321503,-0.000374685
20190920,1.282788825,0.000364434
20190923,1.283131005,0.000266747
20190924,1.284433312,0.001014944
20190925,1.291024553,0.005131633
20190926,1.295199452,0.003233787
20190927,1.293996642,-0.000928667
20190930,1.30774355,0.010623604
20191008,1.321252228,0.010329761
20191009,1.327715192,0.004891545
20191010,1.324664766,-0.002297501
20191011,1.312980688,-0.008820404
20191014,1.301030315,-0.009101712
20191015,1.295667645,-0.004121864
20191016,1.294668684,-0.000771001
20191017,1.279429951,-0.011770373
20191018,1.27213935,-0.00569832
