DATE,VALUES,RETURNS
20190701,1.016725695,0.016725695
20190702,1.037381367,0.020315875
20190703,1.039330711,0.001879101
20190704,1.045684737,0.006113575
20190705,1.075869084,0.028865628
20190708,1.086398995,0.009787353
20190709,1.087534885,0.001045556
20190710,1.104214663,0.015337235
20190711,1.133375712,0.026408859
20190712,1.129681825,-0.00325919
20190715,1.113851601,-0.014012993
20190716,1.085827501,-0.025159635
20190717,1.050378316,-0.032647161
20190718,1.046706446,-0.00349576
20190719,1.064583362,0.017079207
20190722,1.074849412,0.009643256
20190723,1.07843196,0.00333307
20190724,1.08047732,0.001896606
20190725,1.077708492,-0.002562597
20190726,1.075417163,-0.002126112
20190729,1.091006785,0.014496348
20190730,1.147012121,0.051333628
20190731,1.169324056,0.019452223
20190801,1.233922306,0.055244096
20190802,1.291704232,0.046827847
20190805,1.248470621,-0.033470209
20190806,1.207162838,-0.033086708
20190807,1.198710883,-0.007001504
20190808,1.161029495,-0.031434926
20190809,1.143823324,-0.014819754
20190812,1.124967233,-0.016485143
20190813,1.112211677,-0.011338602
20190814,1.07895934,-0.029897489
20190815,1.077359732,-0.001482548
20190816,1.081117908,0.003488321
20190819,1.089923102,0.008144527
20190820,1.113566136,0.021692387
20190821,1.138196359,0.02211833
20190822,1.171384494,0.029158532
20190823,1.208845323,0.03197996
20190826,1.196990568,-0.009806677
20190827,1.177754108,-0.016070686
20190828,1.136363275,-0.035143867
20190829,1.098208112,-0.033576554
20190830,1.090481835,-0.007035349
20190902,1.003651969,0.003651969
20190903,1.026047666,0.022314206
20190904,1.064749454,0.037719289
20190905,1.112170835,0.044537596
20190906,1.140189512,0.025192781
20190909,1.121545626,-0.016351567
20190910,1.151616221,0.026811744
20190911,1.161459301,0.008547188
20190912,1.176908481,0.013301525
20190916,1.217487234,0.034479107
20190917,1.242785044,0.020778707
20190918,1.253652111,0.008744124
20190919,1.262422708,0.006996038
20190920,1.276346493,0.011029416
20190923,1.281766327,0.004246366
20190924,1.283510989,0.001361138
20190925,1.288945484,0.004234085
20190926,1.2843725,-0.003547849
20190927,1.261412624,-0.017876337
20190930,1.251984822,-0.007474004
20191008,1.255226958,0.002589597
20191009,1.252476152,-0.002191481
20191010,1.227232203,-0.020155233
20191011,1.22064594,-0.005366762
20191014,1.209826319,-0.008863849
20191015,1.22240588,0.010397823
20191016,1.248946267,0.0217116
20191017,1.243416792,-0.004427312
20191018,1.247100431,0.002962514
20191021,1.256046797,0.007173733
20191022,1.26238545,0.005046511
20191023,1.27718603,0.011724295
20191024,1.28001075,0.002211675
20191025,1.28753054,0.005874786
20191028,1.305685035,0.014100244
20191029,1.299915605,-0.0044187
20191030,1.295546241,-0.003361267
20191031,1.295627176,6.25E-05
20191101,0.996254708,-0.003745292
20191104,0.985626734,-0.010667928
20191105,0.978253192,-0.007481069
20191106,0.97386236,-0.004488442
20191107,0.972145224,-0.001763222
20191108,0.982759935,0.010918854
20191111,0.990871273,0.008253631
20191112,0.985922391,-0.004994475
20191113,0.971313567,-0.014817418
20191114,0.970548527,-0.000787634
20191115,0.963788981,-0.006964667
20191118,0.959954229,-0.003978829
20191119,0.964029433,0.004245206
20191120,0.984040091,0.020757311
20191121,0.991296299,0.007373894
20191122,0.998508353,0.007275377
20191125,1.004230617,0.005730813
20191126,1.025177292,0.020858431
20191127,1.065842359,0.039666374
20191128,1.086198432,0.019098578
20191129,1.097093548,0.010030503
20191202,1.091123822,-0.005441401
20191203,1.064638448,-0.024273481
20191204,1.059827413,-0.004518938
20191205,1.071337569,0.010860406
20191206,1.07774307,0.005978975
20191209,1.111436676,0.031263115
20191210,1.139615122,0.025353173
20191211,1.15626225,0.014607676
20191212,1.163827489,0.00654284
20191213,1.179106676,0.013128395
20191216,1.186264693,0.006070712
20191217,1.193374004,0.005993023
20191218,1.201533245,0.00683712
20191219,1.203910987,0.001978923
20191220,1.214879896,0.009111063
20191223,1.22793455,0.010745634
20191224,1.242737651,0.012055284
20191225,1.256385544,0.010982119
20191226,1.289378325,0.026260077
20191227,1.274820024,-0.011290945
20191230,1.273903424,-0.000719004
20191231,1.263103944,-0.008477471
20200102,0.993263667,-0.006736333
20200103,0.991824984,-0.001448441
20200106,0.996439706,0.004652758
20200107,0.978685309,-0.017817833
20200108,0.974960982,-0.003805439
20200109,0.970866006,-0.004200144
20200110,0.95478078,-0.016567915
20200113,0.932119423,-0.023734618
20200114,0.918682268,-0.014415701
20200115,0.90506032,-0.014827703
20200116,0.911782671,0.007427517
20200117,0.917104967,0.005837241
20200120,0.930292444,0.014379463
20200121,0.938780965,0.009124573
20200122,0.936607968,-0.002314701
20200123,0.922457124,-0.015108609
20200203,0.909632805,-0.013902348
20200204,0.901900568,-0.008500394
20200205,0.902013359,0.000125059
20200206,0.901788002,-0.000249838
20200207,0.905273353,0.003864934
20200210,0.902880846,-0.002642856
20200211,0.900023467,-0.003164735
20200212,0.887860656,-0.013513883
20200213,0.878705973,-0.010310945
20200214,0.860322142,-0.020921482
20200217,0.8493348,-0.012771195
20200218,0.845672121,-0.004312409
20200219,0.837134707,-0.010095419
20200220,0.84469569,0.009031979
20200221,0.842354662,-0.002771445
20200224,0.827220632,-0.01796634
20200225,0.833724059,0.007861781
20200226,0.831759284,-0.002356626
20200227,0.835100062,0.004016521
20200228,0.833472117,-0.001949402
20200302,0.989249006,-0.010750994
20200303,0.988932488,-0.000319958
20200304,0.993235705,0.004351376
20200305,0.978756154,-0.014578162
20200306,0.982562748,0.003889216
20200309,0.961022946,-0.021922062
20200310,0.95500084,-0.006266351
20200311,0.950213242,-0.005013187
20200312,0.961064885,0.011420219
20200313,0.992511322,0.03272041
20200316,1.022596392,0.030312067
20200317,1.059581247,0.036167598
20200318,1.045289903,-0.013487729
20200319,1.036296556,-0.008603687
20200320,1.027041874,-0.008930534
20200323,1.030414678,0.003283998
20200324,1.054738595,0.02360595
20200325,1.067180847,0.011796526
20200326,1.078645379,0.010742821
20200327,1.088330375,0.008978851
20200330,1.182324404,0.086365345
20200331,1.234838537,0.044416011
20200401,1.291933584,0.046236853
20200402,1.292743668,0.000627032
20200403,1.292062108,-0.00052722
20200407,1.291693649,-0.000285172
20200408,1.308225193,0.012798348
20200409,1.290616175,-0.013460234
20200410,1.27295163,-0.013686908
20200413,1.292467289,0.015331029
20200414,1.328876368,0.028170213
20200415,1.391606815,0.047205631
20200416,1.410406304,0.013509195
20200417,1.42383095,0.009518283
20200420,1.438656156,0.010412195
20200421,1.448333703,0.006726796
20200422,1.518178695,0.048224378
20200423,1.52800177,0.006470302
20200424,1.515628524,-0.008097665
20200427,1.519071827,0.002271865
20200428,1.543565873,0.016124351
20200429,1.561590413,0.011677208
20200430,1.558311384,-0.002099801
