DATE,VALUES,RETURNS
20190701,1.022336795,0.022336795
20190702,1.033321367,0.010744573
20190703,1.03364942,0.000317474
20190704,1.02653894,-0.006879005
20190705,1.017548632,-0.008757883
20190708,1.020760861,0.003156831
20190709,1.025368676,0.004514098
20190710,1.034136992,0.008551379
20190711,1.035976558,0.001778842
20190712,1.053984314,0.017382397
20190715,1.04944618,-0.004305694
20190716,1.04307026,-0.00607551
20190717,1.034061381,-0.008636886
20190718,1.00837106,-0.024844096
20190719,1.004807019,-0.003534454
20190722,0.986295429,-0.018423031
20190723,0.963191794,-0.02342466
20190724,0.9323453,-0.032025287
20190725,0.914010303,-0.019665458
20190726,0.906400168,-0.008326093
20190729,0.889747389,-0.018372436
20190730,0.879266313,-0.011779833
20190731,0.881413161,0.002441635
20190801,0.883595857,0.00247636
20190802,0.895469065,0.013437374
20190805,0.905145564,0.010806067
20190806,0.921333264,0.017884084
20190807,0.940290069,0.020575404
20190808,0.939039872,-0.001329587
20190809,0.930091382,-0.009529403
20190812,0.910427496,-0.021141887
20190813,0.903098541,-0.008050015
20190814,0.877790595,-0.02802346
20190815,0.881469622,0.004191235
20190816,0.894903174,0.015239948
20190819,0.896134076,0.001375459
20190820,0.895918695,-0.000240345
20190821,0.910791176,0.016600258
20190822,0.897833915,-0.01422638
20190823,0.887689228,-0.011299069
20190826,0.893065619,0.006056614
20190827,0.905066451,0.013437794
20190828,0.921327532,0.017966726
20190829,0.922123479,0.000863913
20190830,0.933333275,0.012156502
20190902,1.074846116,0.074846116
20190903,1.117507456,0.039690649
20190904,1.124145952,0.005940449
20190905,1.122331807,-0.001613798
20190906,1.115270539,-0.006291605
20190909,1.112887244,-0.002136966
20190910,1.1134199,0.000478626
20190911,1.120026317,0.005933445
20190912,1.096251206,-0.021227279
20190916,1.066955262,-0.02672375
20190917,1.053856888,-0.012276405
20190918,1.030064669,-0.022576328
20190919,1.016502693,-0.013166141
20190920,1.002359552,-0.01391353
20190923,1.00186731,-0.000491084
20190924,0.98033814,-0.021489043
20190925,0.971814947,-0.008694136
