DATE,VALUES,RETURNS
20190701,1.004333918,0.004333918
20190702,1.01556476,0.011182378
20190703,1.017019535,0.001432479
20190704,1.016217222,-0.000788886
20190705,1.026369947,0.009990704
20190708,1.032103596,0.005586337
20190709,1.037668489,0.005391797
20190710,1.04727999,0.009262593
20190711,1.056896122,0.009182007
20190712,1.0582472,0.001278345
20190715,1.052992277,-0.004965686
20190716,1.035861456,-0.016268705
20190717,1.015689625,-0.019473483
20190718,0.99902813,-0.016404121
20190719,0.999791054,0.000763666
20190722,1.005288788,0.005498883
20190723,1.01308978,0.007759951
20190724,1.016039251,0.002911362
20190725,1.01607546,3.56E-05
20190726,1.03853373,0.022102955
20190729,1.062044525,0.022638451
20190730,1.109321282,0.044514854
20190731,1.143292648,0.030623559
20190801,1.172338815,0.025405715
20190802,1.176459081,0.00351457
20190805,1.154380467,-0.018767006
20190806,1.145315646,-0.007852542
20190807,1.148612373,0.002878444
20190808,1.148168066,-0.000386821
20190809,1.146637081,-0.001333415
20190812,1.146438621,-0.00017308
20190813,1.154997402,0.007465538
20190814,1.158054854,0.002647151
20190815,1.17497319,0.014609269
20190816,1.177142935,0.001846634
20190819,1.185627968,0.007208158
20190820,1.189499313,0.003265227
20190821,1.189000525,-0.000419326
20190822,1.196060232,0.005937514
20190823,1.192942018,-0.002607071
20190826,1.162274208,-0.025707713
20190827,1.121239594,-0.03530545
20190828,1.074053054,-0.04208426
20190829,1.030688011,-0.040375141
20190830,1.010134606,-0.019941442
20190902,1.01249665,0.01249665
20190903,1.03049099,0.01777225
20190904,1.06129492,0.02989248
20190905,1.04225489,-0.0179404
20190906,1.00360667,-0.0370814
20190909,1.01347309,0.00983097
20190910,1.01315882,-0.0003101
20190911,1.0460382,0.03245234
20190912,1.074694,0.02739461
20190916,1.13583433,0.05689092
20190917,1.15876501,0.0201884
20190918,1.17232903,0.01170558
20190919,1.1679994,-0.0036932
20190920,1.16779342,-0.0001764
20190923,1.16190192,-0.005045
20190924,1.17277675,0.00935951
20190925,1.17995661,0.0061221
20190926,1.16974423,-0.0086549
20190927,1.16102272,-0.0074559
20190930,1.15709392,-0.0033839
20191008,1.14639125,-0.0092496
20191009,1.15425731,0.00686158
20191010,1.15154125,-0.0023531
20191011,1.14642294,-0.0044447
20191014,1.13504605,-0.0099238
20191015,1.13947409,0.0039012
20191016,1.15313032,0.01198468
20191017,1.14299684,-0.0087878
20191018,1.13822715,-0.004173
20191021,1.12853786,-0.0085126
20191022,1.12717815,-0.0012048
20191023,1.11913828,-0.0071327
20191024,1.11679863,-0.0020906
20191025,1.11867794,0.00168277
20191028,1.12203899,0.00300448
20191029,1.11443108,-0.0067804
20191030,1.11665421,0.00199486
20191031,1.11869315,0.00182593
20191101,1.007122218,0.007122218
20191104,1.002748567,-0.004342721
20191105,0.994158177,-0.008566843
20191106,0.989451918,-0.004733914
20191107,0.998700058,0.00934673
20191108,1.002194508,0.003498999
20191111,1.001871709,-0.000322092
20191112,0.984690834,-0.017148778
20191113,0.969784701,-0.01513788
20191114,0.962464466,-0.00754831
20191115,0.953489365,-0.009325124
20191118,0.952381838,-0.001161551
20191119,0.95428916,0.002002687
20191120,0.969342209,0.015774096
20191121,0.981847793,0.012901104
20191122,0.995364602,0.013766705
20191125,1.006495372,0.011182607
20191126,1.026214111,0.019591485
20191127,1.042710648,0.016075141
20191128,1.053844252,0.010677558
20191129,1.062836659,0.008532956
20191202,1.067356506,0.004252627
20191203,1.075923216,0.0080261
20191204,1.069014634,-0.006421074
20191205,1.074765564,0.005379655
20191206,1.076416663,0.001536241
20191209,1.100753356,0.02260899
20191210,1.126659345,0.023534781
20191211,1.135538123,0.007880624
20191212,1.138623314,0.002716942
20191213,1.135878176,-0.002410928
20191216,1.14026785,0.003864564
20191217,1.143112103,0.002494372
20191218,1.148407399,0.004632351
20191219,1.143769574,-0.004038484
20191220,1.145084381,0.001149538
20191223,1.15317665,0.007066963
20191224,1.157987183,0.004171549
20191225,1.147494192,-0.009061405
20191226,1.128970442,-0.016142784
20191227,1.112048188,-0.014989103
20191230,1.106394988,-0.005083592
20191231,1.097541065,-0.008002498
20200102,0.994406691,-0.005593309
20200103,0.983427022,-0.011041427
20200106,0.970498811,-0.01314608
20200107,0.958846909,-0.012006096
20200108,0.946220729,-0.013168088
20200109,0.943839824,-0.002516226
20200110,0.935386135,-0.008956699
20200113,0.932036043,-0.003581507
20200114,0.938401273,0.006829382
20200115,0.947972079,0.010199055
20200116,0.953518581,0.005850913
20200117,0.954142868,0.000654719
20200120,0.961273965,0.007473826
20200121,0.958268292,-0.00312676
20200122,0.95100095,-0.007583828
20200123,0.953054015,0.002158846
20200203,0.957303391,0.004458694
20200204,0.966483496,0.009589547
20200205,0.970556383,0.004214129
20200206,0.980211343,0.009947861
20200207,0.99387977,0.013944367
20200210,0.975489676,-0.018503338
20200211,0.962150289,-0.013674554
20200212,0.956368079,-0.006009675
20200213,0.954080609,-0.00239183
20200214,0.951887335,-0.002298835
20200217,0.954988595,0.003258011
20200218,0.956780611,0.001876479
20200219,0.964121563,0.007672555
20200220,0.993223148,0.03018456
20200221,0.995259094,0.002049837
20200224,0.963403397,-0.032007441
20200225,0.954832122,-0.00889687
20200226,0.933366952,-0.02248057
20200227,0.916800244,-0.017749405
20200228,0.912981642,-0.004165141
20200302,1.007897063,0.007897063
20200303,1.043781118,0.035602897
20200304,1.046466031,0.002572295
20200305,1.060191764,0.013116272
20200306,1.043549007,-0.015697874
20200309,1.023555431,-0.019159211
20200310,0.993170691,-0.029685486
20200311,0.96001005,-0.033388662
20200312,0.919269674,-0.042437447
20200313,0.926846442,0.008242159
20200316,0.916676831,-0.010972271
20200317,0.963853356,0.051464729
20200318,1.027586071,0.066122834
20200319,1.104643587,0.074988867
20200320,1.104774545,0.000118552
20200323,1.111217382,0.005831812
20200324,1.121925677,0.009636544
20200325,1.122942069,0.000905935
20200326,1.11860473,-0.003862478
20200327,1.122292172,0.003296465
20200330,1.188789932,0.059251736
20200331,1.238074112,0.041457434
20200401,1.289209586,0.041302434
20200402,1.297315507,0.006287512
20200403,1.298510728,0.000921303
20200407,1.290225711,-0.006380399
20200408,1.298651456,0.006530443
20200409,1.292080391,-0.005059914
20200410,1.27195093,-0.015579109
20200413,1.271063071,-0.000698029
20200414,1.30336811,0.025415764
20200415,1.374128837,0.054290669
20200416,1.391390844,0.012562146
20200417,1.419365209,0.020105325
20200420,1.446253731,0.018944048
20200421,1.440645204,-0.003877969
20200422,1.476047896,0.024574192
20200423,1.466571086,-0.006420394
20200424,1.480883342,0.009758992
20200427,1.510971144,0.02031747
20200428,1.558213789,0.031266411
20200429,1.553460056,-0.003050758
20200430,1.542685493,-0.006935848
20200506,1.036348821,0.036348821
20200507,1.046050997,0.009361883
20200508,1.033650905,-0.011854195
20200511,1.030523629,-0.003025467
20200512,1.025708036,-0.004672958
20200513,1.02108284,-0.004509271
20200514,1.016356006,-0.004629237
20200515,0.993976967,-0.022018898
20200518,0.989213109,-0.004792724
20200519,0.998610558,0.009499923
20200520,0.991764923,-0.00685516
20200521,0.992999472,0.0012448
20200522,0.977116086,-0.015995362
20200525,0.974665994,-0.002507473
20200526,0.975134594,0.00048078
20200527,0.972727877,-0.002468087
20200528,0.965229,-0.007709121
20200529,0.980482737,0.015803231
20200601,0.984334243,0.003928173
20200602,0.994357851,0.010183135
20200603,0.998404619,0.00406973
20200604,1.006803554,0.008412356
20200605,1.00854599,0.001730661
20200608,1.014104054,0.005510968
20200609,1.008334837,-0.00568898
20200610,1.000737925,-0.007534116
20200611,0.988793264,-0.011935853
20200612,1.010586019,0.022039748
20200615,1.030195104,0.019403677
20200616,1.038534686,0.008095149
20200617,1.038964048,0.000413431
20200618,1.035040486,-0.003776418
20200619,1.040148255,0.004934849
20200622,1.037251342,-0.002785096
20200623,1.018912492,-0.017680238
20200624,0.994694011,-0.023768951
20200629,0.986068097,-0.008671928
20200630,0.98189526,-0.004231794
